Gene name,Chromosome,Orientation,Left ORF border,Right ORF border,Left txn border,Right txn border,ORF length,Left UTR,Right UTR
SPAC2C4.04c,chromosome1,-,4265722,4266099,4265706,4266368,377,16,269
SPAC2C4.05 ,chromosome1,+,4267113,4267604,4267080,4268016,491,33,412
SPAC2C4.06c ,chromosome1,-,4269367,4270871,4268924,4270903,1504,443,32
SPAC2C4.07c ,chromosome1,-,4271297,4274080,4271099,4274116,2783,198,36
SPAC2C4.08,chromosome1,+,4275171,4275902,4275060,NA,731,111,NA
SPAC2C4.09,chromosome1,+,4276024,4276786,NA,4276923,762,NA,137
SPAC2C4.10c,chromosome1,-,4277153,4277774,4276923,4277916,621,230,142
SPAC2C4.11c,chromosome1,-,4278729,4279505,4278494,4279538,776,235,33
SPAC2C4.12c ,chromosome1,-,4279873,4280958,4279873,4281433,1085,0,475
SPAC2C4.13 ,chromosome1,+,4281493,4282092,4281433,4283363,599,60,1271
SPAC2C4.14c,chromosome1,-,4283515,4284453,4282644,4284516,938,871,63
SPAC2C4.15c,chromosome1,-,4284918,4286201,4284849,4286221,1283,69,20
SPAC2C4.16c,chromosome1,-,4286813,4287415,4286813,4287431,602,0,16
SPAC2C4.17c ,chromosome1,-,4288401,4290923,4288205,4291667,2522,196,744
SPAC2E12.02,chromosome1,+,5059475,5061646,5059245,5061772,2171,230,126
SPAC2E12.03c,chromosome1,-,5062198,5063049,5062104,NA,851,94,NA
SPAC2E12.05,chromosome1,+,5064305,5066231,5063258,5066231,1926,1047,0
SPAC2E1P3.01 ,chromosome1,+,2923322,2924368,NA,2924525,1046,NA,157
SPAC2E1P3.02c,chromosome1,-,2924893,2926446,NA,NA,1553,NA,NA
SPAC2E1P3.03c,chromosome1,-,2927204,2931205,NA,NA,4001,NA,NA
SPAC2E1P3.04,chromosome1,+,2932797,2934935,NA,2935087,2138,NA,152
SPAC2E1P3.05c,chromosome1,-,2935510,2936103,2935360,2936240,593,150,137
SPAC2E1P5.01c,chromosome1,-,3322913,3324478,3322678,3324816,1565,235,338
SPAC2E1P5.02c,chromosome1,-,3325647,3326138,3325263,NA,491,384,NA
SPAC2E1P5.03 ,chromosome1,+,3326898,3327809,3326852,3327959,911,46,150
SPAC2E1P5.04c,chromosome1,-,3327940,3329007,NA,NA,1067,NA,NA
SPAC2E1P5.05 ,chromosome1,+,3329362,3330936,3329362,3331144,1574,0,208
SPAC2F3.01 ,chromosome1,+,3922354,3923313,NA,3923496,959,NA,183
SPAC2F3.02 ,chromosome1,+,3924753,3925331,3924654,3925694,578,99,363
SPAC2F3.03c,chromosome1,-,3925983,3927260,3925751,3927292,1277,232,32
SPAC2F3.04c,chromosome1,-,3927781,3928317,3927510,3928390,536,271,73
SPAC2F3.05c ,chromosome1,-,3928809,3929636,3928721,3929931,827,88,295
SPAC2F3.06c,chromosome1,-,3931214,3934068,3930586,3934105,2854,628,37
SPAC2F3.07c,chromosome1,-,3935528,3935833,NA,NA,305,NA,NA
SPAC2F3.08,chromosome1,+,3936053,3937780,3935322,3938074,1727,731,294
SPAC2F3.09 ,chromosome1,+,3940263,3941939,3939665,3942029,1676,598,90
SPAC2F3.10 ,chromosome1,+,3943194,3946043,3943194,3946427,2849,0,384
SPAC2F3.11 ,chromosome1,+,3946578,3947774,3946578,3947774,1196,0,0
SPAC2F3.12c,chromosome1,-,3947930,3948946,3947912,3949019,1016,18,73
SPAC2F3.13c ,chromosome1,-,3949057,3950178,3949057,3950178,1121,0,0
SPAC2F3.14c,chromosome1,-,3950520,3951515,3950520,3951653,995,0,138
SPAC2F3.15,chromosome1,+,3954471,3956415,3953802,3956829,1944,669,414
SPAC2F3.16 ,chromosome1,+,3957143,3958606,3957103,3959297,1463,40,691
SPAC2F3.17c ,chromosome1,-,3923693,3924079,3923657,3924158,386,36,79
SPAC2F3.18c,chromosome1,-,3942299,3942730,NA,NA,431,NA,NA
SPAC2F7.02c ,chromosome1,-,532432,533409,531752,533677,977,680,268
SPAC2F7.03c,chromosome1,-,534462,537725,534226,537856,3263,236,131
SPAC2F7.04,chromosome1,+,538395,539847,537910,539946,1452,485,99
SPAC2F7.05c ,chromosome1,-,540125,541312,539910,541617,1187,215,305
SPAC2F7.06c,chromosome1,-,542037,543557,NA,NA,1520,NA,NA
SPAC2F7.07c,chromosome1,-,544417,546240,544127,NA,1823,290,NA
SPAC2F7.08c ,chromosome1,-,546664,548562,NA,NA,1898,NA,NA
SPAC2F7.09c,chromosome1,-,548768,550243,NA,550726,1475,NA,483
SPAC2F7.10 ,chromosome1,+,551011,552939,550782,553530,1928,229,591
SPAC2F7.11,chromosome1,+,556631,558220,555290,559033,1589,1341,813
SPAC2F7.13c ,chromosome1,-,559317,560504,559032,560571,1187,285,67
SPAC2F7.14c ,chromosome1,-,560978,561967,560847,562166,989,131,199
SPAC2F7.15 ,chromosome1,+,564170,565034,563926,565034,864,244,0
SPAC2F7.16c ,chromosome1,-,565168,569277,565083,569426,4109,85,149
SPAC2F7.17 ,chromosome1,+,570236,571805,570141,571847,1569,95,42
SPAC2G11.02 ,chromosome1,+,808028,812042,807962,812140,4014,66,98
SPAC2G11.03c ,chromosome1,-,812107,813970,811592,814177,1863,515,207
SPAC2G11.04,chromosome1,+,814451,815356,814233,815356,905,218,0
SPAC2G11.05c ,chromosome1,-,815515,817620,815442,817916,2105,73,296
SPAC2G11.06 ,chromosome1,+,818117,819650,818025,819675,1533,92,25
SPAC2G11.07c,chromosome1,-,820163,821704,819787,821766,1541,376,62
SPAC2G11.08c,chromosome1,-,822332,822849,822262,822923,517,70,74
SPAC2G11.09,chromosome1,+,823755,826229,823527,826330,2474,228,101
SPAC2G11.10c ,chromosome1,-,826538,828011,826538,828090,1473,0,79
SPAC2G11.11c,chromosome1,-,829214,831499,828640,831555,2285,574,56
SPAC2G11.12,chromosome1,+,832027,836013,831940,836067,3986,87,54
SPAC2G11.13 ,chromosome1,+,836383,837972,836285,838102,1589,98,130
SPAC2G11.14,chromosome1,+,838320,841387,838267,841456,3067,53,69
SPAC2G11.15c,chromosome1,-,841572,842490,841567,842612,918,5,122
SPAC2H10.01 ,chromosome1,+,5274171,5275613,5273084,5275942,1442,1087,329
SPAC2H10.02c ,chromosome1,-,5276195,5276907,NA,5276934,712,NA,27
SPAC30.01c ,chromosome1,-,4386956,4392424,4386956,4392480,5468,0,56
SPAC30.02c ,chromosome1,-,4392899,4393889,4392866,4393963,990,33,74
SPAC30.03c,chromosome1,-,4394707,4395592,4394376,4395639,885,331,47
SPAC30.04c,chromosome1,-,4395932,4400341,4395836,4400452,4409,96,111
SPAC30C2.02,chromosome1,+,4635747,4636703,4635526,4636846,956,221,143
SPAC30C2.03,chromosome1,+,4637270,4637902,4637119,4637943,632,151,41
SPAC30C2.04 ,chromosome1,+,4638117,4639469,4638117,4639541,1352,0,72
SPAC30C2.05 ,chromosome1,+,4639884,4640477,NA,NA,593,NA,NA
SPAC30C2.06c ,chromosome1,-,4640742,4642139,4640583,4642286,1397,159,147
SPAC30C2.07,chromosome1,+,4642495,4645023,4642345,4645095,2528,150,72
SPAC30C2.08,chromosome1,+,4645560,4647171,4645479,4647622,1611,81,451
SPAC30D11.01c ,chromosome1,+,1120548,1123529,NA,1123605,2981,NA,76
SPAC30D11.02c,chromosome1,+,1119378,1119763,NA,NA,385,NA,NA
SPAC30D11.03 ,chromosome1,-,1116057,1118412,1115961,NA,2355,96,NA
SPAC30D11.04c,chromosome1,+,1112214,1115736,1112214,1115798,3522,0,62
SPAC30D11.05 ,chromosome1,-,1110117,1111118,1109417,1111177,1001,700,59
SPAC30D11.06c,chromosome1,+,1108567,1110110,1108425,1110516,1543,142,406
SPAC30D11.07,chromosome1,-,1106773,1107840,1106667,1107878,1067,106,38
SPAC30D11.08c,chromosome1,+,1104864,1106529,1104799,1106555,1665,65,26
SPAC30D11.09,chromosome1,-,1101741,1103747,1101741,1103754,2006,0,7
SPAC30D11.10,chromosome1,-,1100128,1101537,NA,1101551,1409,NA,14
SPAC30D11.11 ,chromosome1,-,1098036,1099364,1097758,NA,1328,278,NA
SPAC30D11.12 ,chromosome1,-,1096890,1097250,1096876,1097262,360,14,12
SPAC30D11.13,chromosome1,-,1094500,1095393,1094348,1095447,893,152,54
SPAC30D11.14c ,chromosome1,+,1092441,1094045,1092423,1094290,1604,18,245
SPAC31A2.02 ,chromosome1,+,388400,388960,388257,389191,560,143,231
SPAC31A2.03 ,chromosome1,+,389543,390245,389466,390547,702,77,302
SPAC31A2.04c ,chromosome1,-,390589,391173,390455,391173,584,134,0
SPAC31A2.05c,chromosome1,-,391838,396877,391666,396892,5039,172,15
SPAC31A2.06,chromosome1,+,397709,399337,397497,399420,1628,212,83
SPAC31A2.07c ,chromosome1,-,399548,402194,399476,402225,2646,72,31
SPAC31A2.08 ,chromosome1,+,403060,403545,402886,403767,485,174,222
SPAC31A2.09c ,chromosome1,-,403813,405249,NA,NA,1436,NA,NA
SPAC31A2.10 ,chromosome1,+,405802,407465,405746,407507,1663,56,42
SPAC31A2.11c,chromosome1,-,408030,409265,407780,409817,1235,250,552
SPAC31A2.12 ,chromosome1,+,412084,413874,411850,414216,1790,234,342
SPAC31A2.13c ,chromosome1,-,414471,414800,414272,414821,329,199,21
SPAC31A2.14,chromosome1,+,415406,418371,414986,418395,2965,420,24
SPAC31A2.15c,chromosome1,-,418537,419732,418175,419827,1195,362,95
SPAC31A2.16,chromosome1,+,420466,423903,419991,423903,3437,475,0
SPAC31F12.01,chromosome1,+,4567307,4570123,4566386,4570291,2816,921,168
SPAC31G5.01,chromosome1,+,2989396,2990460,2989317,2990691,1064,79,231
SPAC31G5.02 ,chromosome1,+,2990973,2991946,2990909,2992120,973,64,174
SPAC31G5.03,chromosome1,+,2992657,2993115,2992657,2993115,458,0,0
SPAC31G5.04 ,chromosome1,+,2993498,2994586,2993441,2994763,1088,57,177
SPAC31G5.05c ,chromosome1,-,2995039,2995770,2994927,2995915,731,112,145
SPAC31G5.06,chromosome1,+,2996304,2997058,NA,NA,754,NA,NA
SPAC31G5.07 ,chromosome1,+,2997453,2998157,NA,NA,704,NA,NA
SPAC31G5.08,chromosome1,+,2999088,2999843,2998998,3000975,755,90,1132
SPAC31G5.09c,chromosome1,-,2999850,3000968,2999713,3000975,1118,137,7
SPAC31G5.10,chromosome1,+,3002057,3003766,NA,NA,1709,NA,NA
SPAC31G5.11,chromosome1,+,3006138,3006845,NA,3007467,707,NA,622
SPAC31G5.12c ,chromosome1,-,3008184,3009089,NA,NA,905,NA,NA
SPAC31G5.13,chromosome1,+,3010979,3011905,3010654,3012196,926,325,291
SPAC31G5.14 ,chromosome1,+,3012593,3013756,3012474,3014121,1163,119,365
SPAC31G5.15 ,chromosome1,+,3014466,3017698,3014286,3017806,3232,180,108
SPAC31G5.16c,chromosome1,-,3017927,3018762,3017918,3018798,835,9,36
SPAC31G5.17c,chromosome1,-,3019652,3020305,3019456,3020336,653,196,31
SPAC31G5.18c ,chromosome1,-,3020942,3021733,3020778,3021766,791,164,33
SPAC31G5.19 ,chromosome1,+,3024418,3027990,3023308,3028037,3572,1110,47
SPAC31G5.21,chromosome1,+,3010087,3010443,3010087,3010546,356,0,103
SPAC323.01c ,chromosome1,-,3907586,3908795,3907485,3908809,1209,101,14
SPAC323.02c ,chromosome1,-,3909389,3910371,3909300,3910407,982,89,36
SPAC323.03c,chromosome1,-,3910740,3912604,3910681,3912604,1864,59,0
SPAC323.04 ,chromosome1,+,3912773,3914524,3912664,3914697,1751,109,173
SPAC323.05c ,chromosome1,-,3914605,3915471,3913590,3915471,866,1015,0
SPAC323.06c ,chromosome1,-,3915615,3917531,NA,NA,1916,NA,NA
SPAC323.07c ,chromosome1,-,3918201,3919864,NA,3920033,1663,NA,169
SPAC323.08 ,chromosome1,+,3921076,3921711,3921018,NA,635,58,NA
SPAC328.01c ,chromosome1,-,3471020,3474807,3470574,3474972,3787,446,165
SPAC328.02,chromosome1,+,3475561,3477075,3475189,3477279,1514,372,204
SPAC328.03,chromosome1,+,3479314,3480855,3479152,3481242,1541,162,387
SPAC328.04,chromosome1,+,3481909,3484134,3481738,3484481,2225,171,347
SPAC328.05 ,chromosome1,+,3484695,3486502,NA,NA,1807,NA,NA
SPAC328.06 ,chromosome1,+,3487325,3490834,3487232,3490977,3509,93,143
SPAC328.07c ,chromosome1,-,3491583,3492484,3491252,3492566,901,331,82
SPAC328.08c ,chromosome1,-,3493092,3494183,3492899,3494497,1091,193,314
SPAC328.09 ,chromosome1,+,3494710,3495877,3494658,3497628,1167,52,1751
SPAC328.10c,chromosome1,-,3496487,3497386,3496487,3497386,899,0,0
SPAC32A11.01,chromosome1,+,2445280,2447585,2445257,NA,2305,23,NA
SPAC32A11.02c,chromosome1,-,2447948,2450503,2447897,2451032,2555,51,529
SPAC32A11.03c,chromosome1,-,2452719,2455547,2452132,2456477,2828,587,930
SPAC32A11.04c ,chromosome1,-,2443986,2445031,2443937,2445037,1045,49,6
SPAC343.01c ,chromosome1,-,1639539,1640885,1639232,1641213,1346,307,328
SPAC343.02 ,chromosome1,+,1641755,1642303,1641706,1642753,548,49,450
SPAC343.03,chromosome1,+,1643108,1643652,1643082,NA,544,26,NA
SPAC343.04c,chromosome1,-,1643933,1645634,1643797,1645832,1701,136,198
SPAC343.05,chromosome1,+,1647259,1649215,1647259,1649352,1956,0,137
SPAC343.06c ,chromosome1,-,1649612,1650757,NA,1650783,1145,NA,26
SPAC343.07,chromosome1,+,1651012,1652981,NA,NA,1969,NA,NA
SPAC343.08c ,chromosome1,-,1653288,1653783,NA,NA,495,NA,NA
SPAC343.09,chromosome1,+,1654284,1655516,1654080,1655788,1232,204,272
SPAC343.10,chromosome1,+,1656239,1658164,1656172,1658318,1925,67,154
SPAC343.11c,chromosome1,-,1658475,1663241,1658428,1663321,4766,47,80
SPAC343.12,chromosome1,+,1668071,1669279,1667775,1669592,1208,296,313
SPAC343.13 ,chromosome1,+,1670355,1672071,1670355,1672122,1716,0,51
SPAC343.14c ,chromosome1,-,1672376,1673655,1672285,1673655,1279,91,0
SPAC343.15 ,chromosome1,+,1673947,1675251,1673882,1675367,1304,65,116
SPAC343.16,chromosome1,+,1675730,1677895,NA,1678118,2165,NA,223
SPAC343.17c,chromosome1,-,1678182,1679968,NA,1680097,1786,NA,129
SPAC343.18,chromosome1,+,1680414,1681084,1680205,1681471,670,209,387
SPAC343.19 ,chromosome1,+,1681953,1683827,1681802,1684385,1874,151,558
SPAC343.20,chromosome1,-,1669623,1669964,NA,NA,341,NA,NA
SPAC3A11.02,chromosome1,-,3468197,3470006,3467984,3470188,1809,213,182
SPAC3A11.03,chromosome1,+,3466462,3467493,3466462,3467876,1031,0,383
SPAC3A11.04,chromosome1,-,3465309,3466274,3465067,3466335,965,242,61
SPAC3A11.05c,chromosome1,+,3463065,3465065,3462920,3465342,2000,145,277
SPAC3A11.06 ,chromosome1,-,3459233,3461859,NA,3462098,2626,NA,239
SPAC3A11.07 ,chromosome1,+,3457273,3458928,3456707,3459015,1655,566,87
SPAC3A11.08,chromosome1,+,3453056,3455260,3452965,3455556,2204,91,296
SPAC3A11.09,chromosome1,-,3450114,3452608,3449835,3452805,2494,279,197
SPAC3A11.10c ,chromosome1,+,3448364,3449593,3448352,3449837,1229,12,244
SPAC3A11.11c,chromosome1,+,3446508,3447512,3446366,3447964,1004,142,452
SPAC3A11.12c ,chromosome1,+,3443944,3445445,3443944,3445981,1501,0,536
SPAC3A11.13 ,chromosome1,-,3441687,3442287,3441474,3442297,600,213,10
SPAC3A11.14c,chromosome1,+,3438933,3441651,3438892,3442080,2718,41,429
SPAC3A12.02 ,chromosome1,+,1421916,1422942,1421817,1422972,1026,99,30
SPAC3A12.03c ,chromosome1,-,1423240,1424169,1423029,NA,929,211,NA
SPAC3A12.04c ,chromosome1,-,1424697,1425562,NA,1425562,865,NA,0
SPAC3A12.05c ,chromosome1,-,1426213,1429913,1426054,1429956,3700,159,43
SPAC3A12.06c ,chromosome1,-,1430424,1432655,1430231,NA,2231,193,NA
SPAC3A12.07,chromosome1,+,1433953,1434415,1433953,1434853,462,0,438
SPAC3A12.08,chromosome1,+,1435139,1435783,1435073,1435896,644,66,113
SPAC3A12.09c ,chromosome1,-,1436590,1437462,1436007,1437462,872,583,0
SPAC3A12.10 ,chromosome1,+,1438375,1438905,1438375,1438976,530,0,71
SPAC3A12.11c,chromosome1,-,1439274,1440543,NA,1440543,1269,NA,0
SPAC3A12.12 ,chromosome1,+,1441109,1441969,1441012,1442110,860,97,141
SPAC3A12.13c ,chromosome1,-,1442261,1443128,1442002,NA,867,259,NA
SPAC3A12.14,chromosome1,+,1444930,1445508,1444864,1446238,578,66,730
SPAC3A12.15 ,chromosome1,+,1446703,1448973,1446511,1449373,2270,192,400
SPAC3A12.16c ,chromosome1,-,1450642,1451210,1450031,1451353,568,611,143
SPAC3A12.17c,chromosome1,-,1451957,1453144,1451902,1453333,1187,55,189
SPAC3A12.18 ,chromosome1,+,1454911,1456529,1454707,1456853,1618,204,324
SPAC3A12.19 ,chromosome1,-,1433049,1433375,NA,NA,326,NA,NA
SPAC3C7.01c ,chromosome1,-,2061806,2063641,2061688,2063777,1835,118,136
SPAC3C7.02c ,chromosome1,-,2064853,2066004,NA,NA,1151,NA,NA
SPAC3C7.03c,chromosome1,-,2066668,2067764,NA,2067900,1096,NA,136
SPAC3C7.04 ,chromosome1,+,2068764,2071115,2068614,2071530,2351,150,415
SPAC3C7.05c ,chromosome1,-,2071904,2073232,2071862,2073566,1328,42,334
SPAC3C7.06c,chromosome1,-,2074294,2076246,2073953,2076923,1952,341,677
SPAC3C7.07c ,chromosome1,-,2077280,2078730,2077140,2078793,1450,140,63
SPAC3C7.08c,chromosome1,-,2079274,2082447,2079121,2082476,3173,153,29
SPAC3C7.09 ,chromosome1,+,2083519,2084808,2083358,2084808,1289,161,0
SPAC3C7.10 ,chromosome1,+,2085248,2086114,2085115,2086436,866,133,322
SPAC3C7.11c,chromosome1,-,2086615,2088297,2086437,2088305,1682,178,8
SPAC3C7.12,chromosome1,+,2089787,2091172,2089298,2091331,1385,489,159
SPAC3C7.13c ,chromosome1,-,2091521,2092942,NA,NA,1421,NA,NA
SPAC3C7.14c,chromosome1,-,2094283,2094891,2094138,2094963,608,145,72
SPAC3F10.02c,chromosome1,-,2818256,2820781,2818046,2821126,2525,210,345
SPAC3F10.03 ,chromosome1,+,2821486,2823444,2821400,2823444,1958,86,0
SPAC3F10.04,chromosome1,+,2823967,2825463,2823765,2825581,1496,202,118
SPAC3F10.05c,chromosome1,-,2825838,2826818,2825583,2827013,980,255,195
SPAC3F10.06c ,chromosome1,-,2827047,2828687,NA,NA,1640,NA,NA
SPAC3F10.07c,chromosome1,-,2828666,2829184,NA,NA,518,NA,NA
SPAC3F10.08c ,chromosome1,-,2831810,2832589,2831579,2832622,779,231,33
SPAC3F10.09 ,chromosome1,+,2832796,2833974,2832734,2834876,1178,62,902
SPAC3F10.10c,chromosome1,-,2833891,2834988,NA,NA,1097,NA,NA
SPAC3F10.11c,chromosome1,-,2837268,2841659,2836743,2841809,4391,525,150
SPAC3F10.12c,chromosome1,-,2842317,2842922,2842244,NA,605,73,NA
SPAC3F10.13,chromosome1,+,2846535,2848373,2845983,2848571,1838,552,198
SPAC3F10.15c,chromosome1,-,2848929,2849201,2848570,2849231,272,359,30
SPAC3F10.16c ,chromosome1,-,2849710,2851669,2849673,2851761,1959,37,92
SPAC3F10.17 ,chromosome1,+,2852036,2853332,2851929,2853575,1296,107,243
SPAC3F10.18c ,chromosome1,-,2853790,2853919,2853790,2853919,129,0,0
SPAC3G6.01,chromosome1,+,5378427,5382650,5378427,5382811,4223,0,161
SPAC3G6.02,chromosome1,+,5383093,5383454,5383082,5383744,361,11,290
SPAC3G6.03c,chromosome1,-,5383955,5385138,5383803,5385228,1183,152,90
SPAC3G6.04,chromosome1,+,5385883,5386992,5385779,5387043,1109,104,51
SPAC3G6.05 ,chromosome1,+,5388586,5389395,5388367,5389571,809,219,176
SPAC3G6.06c,chromosome1,-,5389669,5391261,5389631,5391386,1592,38,125
SPAC3G6.07,chromosome1,+,5392273,5392650,NA,NA,377,NA,NA
SPAC3G6.08 ,chromosome1,+,5393688,5394236,5393586,5394307,548,102,71
SPAC3G6.09c ,chromosome1,-,5394646,5397195,5394528,NA,2549,118,NA
SPAC3G6.10c ,chromosome1,-,5397600,5398079,NA,5398153,479,NA,74
SPAC3G6.11 ,chromosome1,+,5399114,5401772,5398819,5401897,2658,295,125
SPAC3G6.13c,chromosome1,-,5402104,5402233,5401951,5402233,129,153,0
SPAC3G9.01,chromosome1,-,3181639,3183027,3181542,3183301,1388,97,274
SPAC3G9.02 ,chromosome1,-,3180426,3181136,NA,3181164,710,NA,28
SPAC3G9.03,chromosome1,-,3179462,3179992,3179395,NA,530,67,NA
SPAC3G9.04,chromosome1,-,3176488,3177130,3176488,3177253,642,0,123
SPAC3G9.05 ,chromosome1,-,3173946,3176059,3173734,3176316,2113,212,257
SPAC3G9.06 ,chromosome1,-,3171584,3173345,3171584,3173345,1761,0,0
SPAC3G9.07c,chromosome1,+,3170110,3171414,3169663,3171414,1304,447,0
SPAC3G9.08,chromosome1,-,3168191,3169042,NA,3169332,851,NA,290
SPAC3G9.09c,chromosome1,+,3166456,3167544,3166419,3167743,1088,37,199
SPAC3G9.10c ,chromosome1,+,3163221,3164108,3163221,3164272,887,0,164
SPAC3G9.11c ,chromosome1,+,3160230,3161942,NA,NA,1712,NA,NA
SPAC3G9.12,chromosome1,-,3152779,3157288,3152121,3157288,4509,658,0
SPAC3G9.13c ,chromosome1,+,3151326,3152782,3150693,3152830,1456,633,48
SPAC3G9.14,chromosome1,-,3147207,3149507,3146947,3150418,2300,260,911
SPAC3G9.15c ,chromosome1,+,3145867,3146559,NA,NA,692,NA,NA
SPAC3G9.16c,chromosome1,+,3145214,3145728,NA,NA,514,NA,NA
SPAC3H1.01c,chromosome1,-,1929048,1931164,1928751,1931283,2116,297,119
SPAC3H1.02c ,chromosome1,-,1931588,1934698,1931588,1934911,3110,0,213
SPAC3H1.03,chromosome1,+,1935357,1935797,1935352,1935797,440,5,0
SPAC3H1.04c ,chromosome1,-,1936076,1937982,1936012,1938157,1906,64,175
SPAC3H1.05 ,chromosome1,+,1938900,1940394,1938900,1940411,1494,0,17
SPAC3H1.06c ,chromosome1,-,1941017,1942786,1940521,NA,1769,496,NA
SPAC3H1.07 ,chromosome1,+,1944231,1945202,1944150,1945306,971,81,104
SPAC3H1.08c,chromosome1,-,1945426,1946101,1945360,1946298,675,66,197
SPAC3H1.09c ,chromosome1,-,1946819,1948941,1946682,1949101,2122,137,160
SPAC3H1.10,chromosome1,+,1949756,1951000,1949598,1951137,1244,158,137
SPAC3H1.11,chromosome1,+,1959311,1961059,1957462,1961475,1748,1849,416
SPAC3H1.12c,chromosome1,-,1961710,1965105,NA,NA,3395,NA,NA
SPAC3H1.13,chromosome1,+,1965173,1966338,1965106,1966426,1165,67,88
SPAC3H1.14 ,chromosome1,+,1967022,1967609,1966920,1967858,587,102,249
SPAC3H5.04 ,chromosome1,-,3437021,3438061,NA,3438117,1040,NA,56
SPAC3H5.05c ,chromosome1,+,3436287,3436706,3436248,3436797,419,39,91
SPAC3H5.06c,chromosome1,+,3431089,3435397,3430970,3435917,4308,119,520
SPAC3H5.07,chromosome1,-,3429717,3430760,3429652,3430760,1043,65,0
SPAC3H5.08c,chromosome1,+,3426306,3428910,3425907,NA,2604,399,NA
SPAC3H5.09c,chromosome1,+,3416764,3424821,3416618,3424974,8057,146,153
SPAC3H5.10 ,chromosome1,-,3415658,3416041,3415567,3416041,383,91,0
SPAC3H5.11 ,chromosome1,-,3413139,3414496,NA,3414631,1357,NA,135
SPAC3H5.12c ,chromosome1,+,3410951,3411835,3410951,3411835,884,0,0
SPAC3H8.02 ,chromosome1,+,588925,590259,587905,590600,1334,1020,341
SPAC3H8.03 ,chromosome1,+,591067,591555,591040,NA,488,27,NA
SPAC3H8.04 ,chromosome1,+,592743,593759,592250,593792,1016,493,33
SPAC3H8.05c,chromosome1,-,593977,597277,593955,597531,3300,22,254
SPAC3H8.06,chromosome1,+,598916,600184,598467,600721,1268,449,537
SPAC3H8.07c ,chromosome1,-,600883,601485,600883,NA,602,0,NA
SPAC3H8.08c ,chromosome1,-,602060,603751,601931,603968,1691,129,217
SPAC3H8.09c ,chromosome1,-,604496,606849,NA,NA,2353,NA,NA
SPAC3H8.10,chromosome1,+,608992,610159,608972,610675,1167,20,516
SPAC458.02c ,chromosome1,-,4732192,4733815,4732104,4733868,1623,88,53
SPAC458.03,chromosome1,+,4734862,4737468,4734854,4737491,2606,8,23
SPAC458.04c,chromosome1,-,4737605,4738714,NA,NA,1109,NA,NA
SPAC458.05,chromosome1,+,4740237,4742642,4740138,4742716,2405,99,74
SPAC458.06,chromosome1,+,4742869,4744167,4742869,4744167,1298,0,0
SPAC458.07,chromosome1,+,4744584,4746099,4744537,4746132,1515,47,33
SPAC4A8.02c,chromosome1,-,2540247,2540725,NA,NA,478,NA,NA
SPAC4A8.03c,chromosome1,-,2541287,2542438,2540843,2542495,1151,444,57
SPAC4A8.04,chromosome1,+,2545350,2546753,2544862,2546953,1403,488,200
SPAC4A8.05c,chromosome1,-,2547351,2553665,2547336,2553665,6314,15,0
SPAC4A8.06c,chromosome1,-,2554013,2555749,2553825,2555915,1736,188,166
SPAC4A8.07c ,chromosome1,-,2556773,2558297,2556632,2558336,1524,141,39
SPAC4A8.08c ,chromosome1,-,2558600,2561714,2558600,2561801,3114,0,87
SPAC4A8.09c,chromosome1,-,2563011,2563963,2562736,2564221,952,275,258
SPAC4A8.10 ,chromosome1,+,2564629,2566800,NA,2566806,2171,NA,6
SPAC4A8.11c,chromosome1,-,2567040,2572568,2566915,2572582,5528,125,14
SPAC4A8.12c,chromosome1,-,2573420,2574473,2573294,2574506,1053,126,33
SPAC4A8.13c,chromosome1,-,2575106,2575924,2574726,2575938,818,380,14
SPAC4A8.14 ,chromosome1,+,2576501,2577772,2576377,2577916,1271,124,144
SPAC4A8.16c ,chromosome1,-,2580220,2582976,2580115,2582976,2756,105,0
SPAC4C5.01,chromosome1,+,1192545,1193613,NA,NA,1068,NA,NA
SPAC4C5.02c,chromosome1,-,1194197,1195036,1192795,1195161,839,1402,125
SPAC4C5.03,chromosome1,+,1196995,1197903,1196756,1198185,908,239,282
SPAC4C5.04,chromosome1,+,1198459,1199619,NA,NA,1160,NA,NA
SPAC4D7.01c ,chromosome1,-,5346324,5351808,5346182,5351847,5484,142,39
SPAC4D7.02c ,chromosome1,-,5352606,5353672,5352391,5353672,1066,215,0
SPAC4D7.03,chromosome1,+,5355131,5357242,5354817,5357293,2111,314,51
SPAC4D7.04c ,chromosome1,-,5357392,5358399,5357341,5358774,1007,51,375
SPAC4D7.05,chromosome1,+,5358956,5360353,5358944,5360479,1397,12,126
SPAC4D7.06c ,chromosome1,-,5360572,5361537,NA,NA,965,NA,NA
SPAC4D7.07c,chromosome1,-,5361908,5363710,NA,NA,1802,NA,NA
SPAC4D7.08c,chromosome1,-,5364360,5365961,5364056,NA,1601,304,NA
SPAC4D7.09 ,chromosome1,+,5367548,5369286,5367411,5369336,1738,137,50
SPAC4D7.10c ,chromosome1,-,5370180,5371770,NA,5371812,1590,NA,42
SPAC4D7.11,chromosome1,+,5372201,5373204,5372031,5373736,1003,170,532
SPAC4D7.12c ,chromosome1,-,5374117,5374992,5374067,5375000,875,50,8
SPAC4D7.13,chromosome1,+,5375612,5377699,5375602,5377699,2087,10,0
SPAC4F10.02 ,chromosome1,+,4832929,4834428,4832916,4834570,1499,13,142
SPAC4F10.03c ,chromosome1,-,4834870,4835945,4834870,4835945,1075,0,0
