Chrom,Strand,Internal ID,Feature class Level 1,Gene Class level 2,Husinga 2004 Gene Class,Systematic ID,Common Name,SGD_Start,SGD_End,SGD_Left,SGD_Right,SGD_Length,Experiment_ID,Experiment_Start,Experiment_End,Experiment_Left,Experiment_Right,Experiment_Length,NFR/NDR_Start,NFR/NDR_End,NFR/NDR_Left,NFR/NDR_Right,"NFR/NDR_Dyad-to-Dyad_Length (""9999"" denotes imputed dyad location)",NFR/NDR_Midpoint,Sector_Start,Sector_End,Sector_Left,Sector_Right,Reference Binding Event for Promoter,REF,REF_Coor,REF_type,REF_strand,STM_YPD,SAGA_HS,TF,Cofactor,Bound TF motif,"Consolidated TF
(motif or CX that overlaps Cofactor peak)","Sua7 count
(11743)","Ssl2 count
(11747)","Tfg1 count
(12099)","Tfa1 count
(12101)","Toa1 count
(17053)","Kin28 count
(17983)","Taf2 count
(11846)",PlusOne_Dyad,PlusOne_ID,Median Occupancy,Median Variance,MinusOne_Dyad,MinusOne_ID,Median Occupancy,Median Variance,"MinusOne
Stability (from Kubik Mol Cell 215 (https://doi.org/1.116/j.molcel.215.1.2))",Head_assoc,Distance,ClosestID,ClosestID_rankorder,ClosestID_coor,ClosestID_Strand,Head_Assoc_Type,ClosestID_orientation,Tail_assoc,Distance,ClosestID,ClosestID_rankorder,ClosestID_coor,ClosestID_Strand,Tail_Assoc_Type,ClosestID_orientation,TATA_type,TATA left,TATA right,"Fragile vs Stable ""-1"" nucleosomes from Kubik Mol Cell 2015 (https://doi.org/10.1016/j.molcel.2015.10.002)",GO (Gene Ontology) description
chr15,+,20526,02_STM,02b_STM_YPD,TFIID-dominated,YOL082W,ATG19,168727,169974,168727,169974,1247,ST3024,168433,170082,168433,170082,1649,167655,168405,167655,168405,9999,168030,167655,170182,167655,170182,Rap1_15258_Motif_1_chr15_168193_168193_-,Rap1,168193,Motif,-,Sgf73_CX_chr15_168206_168207,Spt7HS_chr15_168203_168204,Rap1_CX_chr15_168212_168213,Nhp6a_CX_chr15_168216_168217,Rap1_15258_Motif_1_chr15_168193_168193_-,Rap1_15258_Motif_1_bound_1bp_chr15_168213_168213_+,829,649,730,624,401,443,560,168405,nuc_chr15-168405,119.4974875,40.92326706,,, , ,fragile,X_H,104,H_CUT361,90001,168329,+,H,Tandem,T_X,231,H_CUT362,90276,170313,+,H,Tandem, , , ,fragile,ATG19_Receptor protein for the cytoplasm-to-vacuole targeting (Cvt) pathway_YOL082W|CVT19_S0005442
chr15,-,20527,02_STM,02a_RSTM,TFIID-dominated,YOR152C,ATG40,618288,617518,617518,618288,770,ST6818,618893,617244,617244,618893,1649,619689,618891,618891,619689,798,619290,619689,617144,617144,619689,Ecm22_18487_Motif_1_chr15_619348_619348_+,Ecm22,619348,Motif,+,Cse2_CX_chr15_619359_619360,Sgf11HS_chr15_619352_619353,Crz1_CX_chr15_619354_619355,Ada2_CX_chr15_619352_619353,Ecm22_18487_Motif_1_chr15_619348_619348_+,Hal9_11804_Motif_1_bound_1bp_chr15_619354_619354_+,1343,775,771,742,314,405,479,618891,nuc_chr15-618891,114.6443091,39.26594388,619689,nuc_chr15-619689,85.01532247,36.75987342,,X_H,755,H_YOR153W,70014,619648,+,H,Divergent,T_X,295,H_YOR151C,31705,616949,-,H,Tandem, , , ,,ATG40_Autophagy receptor with a role in endoplasmic reticulum degradation_YOR152C_S0005678
chr8,+,20528,02_STM,02c_STM_HS,TFIID-dominated,YHR183W,GND1,470960,472429,470960,472429,1469,ST1545,470883,472532,470883,472532,1649,470569,470883,470569,470883,314,470726,470569,472632,470569,472632,Stb5_11918_Motif_1_chr8_470682_470682_+,Stb5,470682,Motif,+,.,Spt7HS_chr8_470678_470679,Stb5_CX_chr8_470721_470722,.,Stb5_11918_Motif_1_chr8_470682_470682_+,Stb5_11918_Motif_1_bound_1bp_chr8_470682_470682_+,1892,1338,1072,970,762,642,335,470883,nuc_chr8-470883,90.82069271,43.08917837,470569,nuc_chr8-470569,133.4045544,43.51231492,fragile,X_H,115,H_SUT594,100093,470768,-,H,Divergent,T_X,1391,H_YHR184W,50120,473923,+,H,Tandem,TATA_box,470774,470782,fragile,"GND1_6-phosphogluconate dehydrogenase (decarboxylating)_YHR183W|phosphogluconate dehydrogenase (decarboxylating) GND1_{Homologous Gene Pair = YGR256W, GND2, 0.87}_S0001226"
chr9,+,20529,02_STM,02c_STM_HS,TFIID-dominated,YIR015W,RPR2,381948,382382,381948,382382,434,ST1678,381923,383572,381923,383572,1649,381716,381967,381716,381967,251,381842,381716,383672,381716,383672,Spt7HS_chr9_381911_381912,Spt7HS,381911,CX,.,.,Spt7HS_chr9_381911_381912,.,Htl1_CX_chr9_381935_381936,.,.,546,459,412,401,323,317,360,381967,nuc_chr9-381967,166.4842693,38.07368977,381716,nuc_chr9-381716,133.2851794,37.83169688,,H_H,131,H_XUT_9R-167,110059,381792,-,H,Divergent,T_X,852,H_YIR017C,20299,384424,-,H,Divergent,TATA_like,381927,381935,,RPR2_Subunit of nuclear RNase P_YIR015W|ribonuclease P protein subunit RPR2_S0001454
chr4,+,20530,02_STM,02b_STM_YPD,TFIID-dominated,YDR061W,,574164,575783,574164,575783,1619,ST0522,574157,575814,574157,575814,1657,573753,574176,573753,574176,423,573965,573753,575914,573753,575914,Stb5_CX_chr4_573854_573855,Stb5,573854,CX,.,Gal11_CX_chr4_573916_573917,.,Stb5_CX_chr4_573854_573855,Gal11_CX_chr4_573916_573917,.,.,373,225,271,280,175,229,254,574176,nuc_chr4-574176,121.2787959,47.07297395,573753,nuc_chr4-573753,141.5960501,44.48972448,fragile,X_H,359,T_YDR060W,31588,573798,+,T,Tandem,T_X,263,H_YDR062W,31306,576077,+,H,Tandem,TATA_like,574059,574067,fragile,YDR061W_Protein with similarity to ABC transporter family members_YDR061W_S0002468
chr10,-,20531,02_STM,02c_STM_HS,TFIID-dominated,YJL164C,TPK1,111159,109966,109966,111159,1193,ST5407,111387,109723,109723,111387,1664,111634,111352,111352,111634,282,111493,111634,109623,109623,111634,Ubp8HS_chr10_111488_111489,Ubp8HS,111488,CX,.,.,Ubp8HS_chr10_111488_111489,.,.,.,.,326,234,173,188,170,161,142,111352,nuc_chr10-111352,125.6622665,27.06759988,111634,nuc_chr10-111634,161.6446397,35.83997622,stable,H_H,91,H_SUT203,100343,111478,+,H,Divergent,T_X,95,H_YJL165C,20862,109628,-,H,Tandem, , , ,stable,"TPK1_cAMP-dependent protein kinase catalytic subunit_YJL164C|SRA3|PKA1|cAMP-dependent protein kinase catalytic subunit TPK1_{Homologous Gene Pair = YKL166C, TPK3, 0.71}_S0003700"
chr7,-,20532,02_STM,02b_STM_YPD,TFIID-dominated,YGR279C,SCW4,1049958,1048798,1048798,1049958,1160,ST5068,1050096,1048431,1048431,1050096,1665,1050797,1050047,1050047,1050797,9999,1050422,1050797,1048331,1048331,1050797,Mcm1_12441_Motif_1_chr7_1050303_1050303_-,Mcm1,1050303,Motif,-,Phd1_CX_chr7_1050340_1050341,Spt7HS_chr7_1050362_1050363,Mcm1_CX_chr7_1050314_1050315,Snf6_CX_chr7_1050385_1050386,Mcm1_12441_Motif_1_chr7_1050303_1050303_-,Mcm1_12441_Motif_1_bound_1bp_chr7_1050322_1050322_+,3436,2261,1854,1848,946,1013,454,1050047,nuc_chr7-1050047,99.45828883,36.59853827,,, , ,fragile,X_H,559,T_YGR280C,30492,1050655,-,T,Tandem,T_X,1716,H_YGR278W,41604,1046715,+,H,Divergent,TATA_like,1050142,1050150,fragile,"SCW4_Cell wall protein with similarity to glucanases_YGR279C|putative family 17 glucosidase_{Homologous Gene Pair = YMR305C, SCW10, 0.59}_S0003511"
chr12,-,20533,02_STM,02b_STM_YPD,TFIID-dominated,YLR108C,,368124,366667,366667,368124,1457,ST5939,368204,366539,366539,368204,1665,368596,368171,368171,368596,425,368384,368596,366439,366439,368596,Hms2_17849_Motif_1_chr12_368481_368481_-,Hms2,368481,Motif,-,Med2_CX_chr12_368460_368461,Sgf11HS_chr12_368319_368320,Cad1_CX_chr12_368289_368290,Ada2_CX_chr12_368467_368468,Hms2_17849_Motif_1_chr12_368481_368481_-,Hms2_17849_Motif_1_bound_1bp_chr12_368481_368481_-,905,712,508,485,623,462,344,368171,nuc_chr12-368171,154.191601,33.8391126,368596,nuc_chr12-368596,124.6464146,33.2089131,fragile,X_H,395,H_YLR109W,20139,368599,+,H,Divergent,T_X,193,T_snR6,240116,366346,+,T,Divergent,TATA_like,368238,368246,fragile,"YLR108C_Protein of unknown function_YLR108C_{Homologous Gene Pair = YDR132C, YDR132C, 0.41}_S0004098"
chr12,-,20534,02_STM,02b_STM_YPD,TFIID-dominated,YLR212C,TUB4,566281,564860,564860,566281,1421,ST5992,566331,564666,564666,566331,1665,566732,566248,566248,566732,484,566490,566732,564566,564566,566732,Reb1_12467_Motif_1_chr12_566444_566444_+,Reb1,566444,Motif,+,Sgf73_CX_chr12_566520_566521,Spt7HS_chr12_566580_566581,Reb1_CX_chr12_566429_566430,Swi3_CX_chr12_566555_566556,Reb1_12467_Motif_1_chr12_566444_566444_+,Yap1_CX_chr12_566500_566501,453,243,312,335,186,195,254,566248,nuc_chr12-566248,115.2751119,40.35156938,566732,nuc_chr12-566732,71.92784157,42.39084307,stable,X_H,143,T_YLR213C,30815,566474,-,T,Tandem,T_X,79,H_YLR211C,40915,564587,-,H,Tandem, , , ,stable,TUB4_Gamma-tubulin_YLR212C|gamma-tubulin_S0004202
chr2,+,20535,02_STM,02c_STM_HS,TFIID-dominated,YBR297W,MAL33,800523,801929,800523,801929,1406,ST0273,800485,802150,800485,802150,1665,800198,800513,800198,800513,315,800356,800198,802250,800198,802250,Mig2_18493_Motif_2_chr2_800368_800368_+,Mig2,800368,Motif,+,.,Spt7HS_chr2_800343_800344,Mac1_CX_chr2_800338_800339,.,Mig2_18493_Motif_2_chr2_800368_800368_+,Mac1_12006_Motif_1_bound_1bp_chr2_800355_800355_+,182,117,178,214,142,141,109,800513,nuc_chr2-800513,157.3431553,40.24650434,800198,nuc_chr2-800198,89.04955016,40.6716277,stable,H_H,173,H_YBR296C-A,20013,800312,-,H,Divergent,T_X,259,T_YBR298C,42016,802409,-,T,Divergent,TATA_like,800407,800415,stable,MAL33_MAL-activator protein_YBR297W|MAL3R|MALR|transcription factor MAL33_S0000501
chr8,+,20536,02_STM,02b_STM_YPD,SAGA-dominated,YHR143W,DSE2,385510,386487,385510,386487,977,ST1512,384998,386671,384998,386671,1673,384723,385060,384723,385060,337,384892,384723,386771,384723,386771,Fkh1_11009_Motif_1_chr8_384909_384909_-,Fkh1,384909,Motif,-,Med2_CX_chr8_384881_384882,Spt7HS_chr8_384890_384891,Fkh1_CX_chr8_384909_384910,Ace2_CX_chr8_384926_384927,Fkh1_11009_Motif_1_chr8_384909_384909_-,Fkh1_11009_Motif_1_bound_1bp_chr8_384887_384887_+,575,333,351,283,401,229,193,385060,nuc_chr8-385060,74.86244065,39.15936321,384723,nuc_chr8-384723,82.00113101,38.49699541,fragile,H_H,49,H_XUT_8R-189,110356,384949,-,H,Divergent,T_T,59,T_SUT590,100036,386730,-,T,Divergent,TATA_box,385166,385174,fragile,DSE2_Daughter cell-specific secreted protein with similarity to glucanases_YHR143W_S0001186
chr4,+,20537,02_STM,02b_STM_YPD,TFIID-dominated,YDR528W,HLR1,1494586,1495857,1494586,1495857,1271,ST0794,1494284,1495957,1494284,1495957,1673,1493981,1494295,1493981,1494295,314,1494138,1493981,1496057,1493981,1496057,Mcm1_12441_Motif_1_chr4_1494130_1494130_-,Mcm1,1494130,Motif,-,Nrg2_CX_chr4_1494103_1494104,.,Mcm1_CX_chr4_1494111_1494112,.,Mcm1_12441_Motif_1_chr4_1494130_1494130_-,Mcm1_12441_Motif_1_bound_1bp_chr4_1494130_1494130_-,1283,730,691,678,721,405,241,1494295,nuc_chr4-1494295,90.18930788,41.56854664,1493981,nuc_chr4-1493981,186.9019509,32.31571666,fragile,X_H,1258,H_snR84,120090,1493026,-,H,Divergent,T_T,3,T_YDR529C,30143,1495960,-,T,Divergent,TATA_box,1494208,1494216,fragile,"HLR1_Protein involved in regulation of cell wall composition and integrity_YDR528W_{Homologous Gene Pair = YCL051W, LRE1, 0.25}_S0002936"
chr13,+,20538,02_STM,02b_STM_YPD,TFIID-dominated,YMR014W,BUD22,298868,300427,298868,300427,1559,ST2520,298833,300506,298833,300506,1673,298574,298872,298574,298872,298,298723,298574,300606,298574,300606,Rap1_15258_Motif_1_chr13_298724_298724_+,Rap1,298724,Motif,+,Ada2_CX_chr13_298701_298702,.,Rap1_CX_chr13_298723_298724,Ada2_CX_chr13_298701_298702,Rap1_15258_Motif_1_chr13_298724_298724_+,Rap1_15258_Motif_1_bound_1bp_chr13_298724_298724_+,700,1549,608,462,487,390,467,298872,nuc_chr13-298872,124.9029074,36.33350687,298574,nuc_chr13-298574,63.28834947,38.3818028,stable,X_H,182,T_snR72,120039,298651,+,T,Tandem,T_X,179,T_YMR015C,41646,300685,-,T,Divergent,TATA_like,298821,298829,stable,BUD22_Protein required for rRNA maturation and ribosomal subunit biogenesis_YMR014W_S0004616
chr14,+,20539,02_STM,02b_STM_YPD,TFIID-dominated,YNL077W,APJ1,481391,482977,481391,482977,1586,ST2862,481265,482938,481265,482938,1673,480963,481281,480963,481281,318,481122,480963,483038,480963,483038,Hsf1_8581_Motif_1_chr14_481105_481105_+,Hsf1,481105,Motif,+,Spt7_CX_chr14_481089_481090,Sgf11HS_chr14_481094_481095,Hsf1_CX_chr14_481107_481108,Spt7_CX_chr14_481089_481090,Hsf1_8581_Motif_1_chr14_481105_481105_+,Hsf1_8581_Motif_1_bound_1bp_chr14_481105_481105_+,423,324,405,338,356,275,302,481281,nuc_chr14-481281,81.73523561,46.84608149,480963,nuc_chr14-480963,147.1950838,37.26600612,fragile,X_H,159,T_YNL078W,20506,481106,+,T,Tandem,T_X,359,H_YNL076W,41767,483297,+,H,Tandem,TATA_like,480986,480994,fragile,APJ1_Chaperone with a role in SUMO-mediated protein degradation_YNL077W_S0005021
chr7,-,20540,02_STM,02c_STM_HS,TFIID-dominated,YGL035C,MIG1,433062,431548,431548,433062,1514,ST4862,433178,431505,431505,433178,1673,433524,433130,433130,433524,394,433327,433524,431405,431405,433524,Spt7HS_chr7_433435_433436,Spt7HS,433435,CX,.,.,Spt7HS_chr7_433435_433436,.,Ace2_CX_chr7_433379_433380,.,.,560,392,397,346,342,241,190,433130,nuc_chr7-433130,139.5924112,43.27603124,433524,nuc_chr7-433524,72.02001557,38.58103455,fragile,X_H,471,H_YGL034C,30075,433649,-,H,Tandem,T_T,163,T_YGL036W,20858,431342,+,T,Divergent,TATA_like,433213,433221,fragile,MIG1_Transcription factor involved in glucose repression_YGL035C|SSN1|CAT4|TDS22|transcription factor MIG1_S0003003
chr10,+,20541,02_STM,02c_STM_HS,TFIID-dominated,YJR121W,ATP2,647607,649142,647607,649142,1535,imputed,647537,649212,647537,649212,1675,647042,647553,647042,647553,511,647298,647042,649312,647042,649312,Ume6_11017_Motif_1_chr10_647161_647161_-,Ume6,647161,Motif,-,.,Spt7HS_chr10_647204_647205,Ume6_CX_chr10_647161_647162,.,Ume6_11017_Motif_1_chr10_647161_647161_-,Hap3_18494_Motif_1_bound_1bp_chr10_647232_647232_-,396,410,379,320,426,271,306,647553,nuc_chr10-647553,117.3963673,33.32009844,647042,nuc_chr10-647042,105.5828453,37.32703038,fragile,X_H,132,H_YJR120W,20707,647405,+,H,Tandem,T_X,258,T_YJR120W,20707,649470,+,T,Tandem, , , ,fragile,ATP2_Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase_YJR121W|F1F0 ATP synthase subunit beta_S0003882
chr13,-,20542,02_STM,02b_STM_YPD,TFIID-dominated,YMR243C,ZRC1,756166,754838,754838,756166,1328,ST6355,756318,754637,754637,756318,1681,756615,756234,756234,756615,381,756425,756615,754537,754537,756615,Rap1_15258_Motif_1_chr13_756435_756435_-,Rap1,756435,Motif,-,Tup1_CX_chr13_756433_756434,.,Rap1_CX_chr13_756435_756436,Tup1_CX_chr13_756433_756434,Rap1_15258_Motif_1_chr13_756435_756435_-,Rap1_15258_Motif_1_bound_1bp_chr13_756435_756435_-,1058,586,619,603,484,329,502,756234,nuc_chr13-756234,92.24396013,44.00437155,756615,nuc_chr13-756615,140.6692864,38.85255292,fragile,X_H,862,H_YMR244W,40922,757180,+,H,Divergent,T_T,181,T_YMR242W-A,40006,754456,+,T,Divergent,TATA_like,756255,756263,fragile,"ZRC1_Vacuolar membrane zinc transporter_YMR243C|OSR1|Zn(2+) transporter ZRC1_{Homologous Gene Pair = YOR316C, COT1, 0.55}_S0004856"
chr4,-,20543,02_STM,02b_STM_YPD,TFIID-dominated,YDR470C,UGO1,1401214,1399706,1399706,1401214,1508,ST4435,1401305,1399616,1399616,1401305,1689,1401991,1401241,1401241,1401991,9999,1401616,1401991,1399516,1399516,1401991,Hmo1_12836_Motif_1_chr4_1401539_1401539_+,Hmo1,1401539,Motif,+,Sgf73_CX_chr4_1401524_1401525,.,Fhl1_CX_chr4_1401502_1401503,Ifh1_CX_chr4_1401532_1401533,Hmo1_12836_Motif_1_chr4_1401539_1401539_+,Hmo1_12836_Motif_1_bound_1bp_chr4_1401539_1401539_+,384,324,276,248,211,187,196,1401241,nuc_chr4-1401241,187.4157168,35.18793693,,, , ,fragile,H_H,395,H_YDR471W,10067,1401700,+,H,Divergent,T_X,612,H_YDR469W,40412,1399004,+,H,Divergent, , , ,fragile,UGO1_Outer membrane component of the mitochondrial fusion machinery_YDR470C_S0002878
chr2,-,20544,02_STM,02c_STM_HS,TFIID-dominated,YBR025C,OLA1,291865,290681,290681,291865,1184,ST3754,292076,290387,290387,292076,1689,292272,292076,292076,292272,196,292174,292272,290287,290287,292272,Hsf1_CX_chr2_292117_292118,Hsf1,292117,CX,.,.,Spt7HS_chr2_292087_292088,Hsf1_CX_chr2_292117_292118,.,.,Hsf1_CX_chr2_292117_292118,2456,1468,1691,1299,1233,619,1075,,, , ,292272,nuc_chr2-292272,84.45406742,40.20129954,stable,X_H,655,T_YBR026C,41168,292731,-,T,Tandem,T_X,1044,H_YBR024W,40945,289343,+,H,Divergent,TATA_like,292086,292094,stable,OLA1_P-loop ATPase with similarity to human OLA1 and bacterial YchF_YBR025C|Obg-like ATPase_S0000229
chr6,-,20545,02_STM,02b_STM_YPD,TFIID-dominated,YFL016C,MDJ1,106236,104701,104701,106236,1535,ST4695,106315,104618,104618,106315,1697,106988,106238,106238,106988,9999,106613,106988,104518,104518,106988,Rap1_15258_Motif_1_chr6_106695_106695_-,Rap1,106695,Motif,-,Gis1_CX_chr6_106670_106671,Sgf11HS_chr6_106695_106696,Mcm1_CX_chr6_106668_106669,Gis1_CX_chr6_106670_106671,Rap1_15258_Motif_1_chr6_106695_106695_-,Mcm1_12441_Motif_1_bound_1bp_chr6_106669_106669_+,658,428,407,338,337,279,431,106238,nuc_chr6-106238,107.4059799,36.36538031,,, , ,fragile,X_H,84,T_YFL015C,50106,106399,-,T,Tandem,T_X,119,H_YFL017C,30166,104499,-,H,Tandem,TATA_like,106335,106343,fragile,MDJ1_Co-chaperone that stimulates HSP70 protein Ssc1p ATPase activity_YFL016C_S0001878
chr5,+,20546,02_STM,02c_STM_HS,TFIID-dominated,YER021W,RPN3,196948,198519,196948,198519,1571,ST0868,196889,198586,196889,198586,1697,196677,196977,196677,196977,300,196827,196677,198686,196677,198686,Rpn4_11941_Motif_1_chr5_196856_196856_+,Rpn4,196856,Motif,+,.,Ubp8HS_chr5_196847_196848,Reb1_CX_chr5_196789_196790,.,Rpn4_11941_Motif_1_chr5_196856_196856_+,Rpn4_11941_Motif_1_bound_1bp_chr5_196856_196856_+,1842,1090,1312,958,673,478,1046,196977,nuc_chr5-196977,148.9702924,35.47051642,196677,nuc_chr5-196677,57.38780389,25.47068476,stable,X_H,335,T_YER020W,20457,196554,+,T,Tandem,T_X,199,H_YER022W,41826,198785,+,H,Tandem,TATA_like,196880,196888,stable,RPN3_Essential non-ATPase regulatory subunit of the 26S proteasome lid_YER021W|SUN2|proteasome regulatory particle lid subunit RPN3_S0000823
chr5,+,20547,02_STM,02b_STM_YPD,SAGA-dominated,YEL071W,DLD3,16355,17845,16355,17845,1490,ST0809,16176,17881,16176,17881,1705,15943,16198,15943,16198,255,16071,15943,17981,15943,17981,Fkh1_11009_Motif_1_chr5_16043_16043_-,Fkh1,16043,Motif,-,Spt7_CX_chr5_16189_16190,Spt7HS_chr5_16174_16175,Fkh1_CX_chr5_16039_16040,Rtg3_CX_chr5_16127_16128,Fkh1_11009_Motif_1_chr5_16043_16043_-,.,1049,540,547,375,554,375,476,16198,nuc_chr5-16198,68.9408977,33.8841613,15943,nuc_chr5-15943,124.891996,32.78980909,fragile,H_H,195,H_SUT503,100022,15981,-,H,Divergent,T_X,1638,H_YEL070W,41465,19519,+,H,Tandem,TATA_box,16240,16248,fragile,"DLD3_2-hydroxyglutarate transhydrogenase, and minor D-lactate dehydrogenase_YEL071W|D-lactate dehydrogenase_S0000797"
chr15,+,20548,02_STM,02b_STM_YPD,SAGA-dominated,YOR065W,CYT1,447439,448368,447439,448368,929,ST3129,447095,448800,447095,448800,1705,446751,447123,446751,447123,372,446937,446751,448900,446751,448900,Yrr1_17054_Motif_1_chr15_446871_446871_+,Yrr1,446871,Motif,+,Sgf73_CX_chr15_446919_446920,Sgf11HS_chr15_446931_446932,Cbf1_CX_chr15_446888_446889,Swi3_CX_chr15_446919_446920,Yrr1_17054_Motif_1_chr15_446871_446871_+,Hap1_17050_Motif_1_bound_1bp_chr15_446938_446938_-,619,527,340,534,971,290,109,447123,nuc_chr15-447123,79.44811243,35.55761093,446751,nuc_chr15-446751,122.8073236,37.94620159,fragile,H_H,307,H_YOR064C,20142,446788,-,H,Divergent,T_T,70,T_XUT_15R-220,110057,448870,-,T,Divergent,TATA_box,447028,447036,fragile,CYT1_Cytochrome c1_YOR065W|CTC1|YOR29-16|ubiquinol--cytochrome-c reductase catalytic subunit CYT1_S0005591
chr15,-,20549,02_STM,02b_STM_YPD,SAGA-dominated,YOR344C,TYE7,978069,977194,977194,978069,875,ST6941,978314,976609,976609,978314,1705,978953,978203,978203,978953,9999,978578,978953,976509,976509,978953,Rap1_15258_Motif_1_chr15_978943_978943_-,Rap1,978943,Motif,-,Cse2_CX_chr15_978827_978828,Sgf11HS_chr15_978733_978734,Pdr1_CX_chr15_978790_978791,Ada2_CX_chr15_978812_978813,Rap1_15258_Motif_1_chr15_978943_978943_-,.,7842,5747,3351,3473,1636,2029,499,978203,nuc_chr15-978203,93.09385807,43.36366768,,, , ,fragile,H_H,113,H_XUT_15F-444,110358,978427,+,H,Divergent,T_T,116,T_tM(CAU)O2,150137,976493,+,T,Divergent,TATA_box,978381,978389,fragile,TYE7_Serine-rich protein that contains a bHLH DNA binding motif_YOR344C|SGC1_S0005871
chr7,+,20550,02_STM,02b_STM_YPD,TFIID-dominated,YGL253W,HXK2,23935,25395,23935,25395,1460,ST1042,23896,25601,23896,25601,1705,23178,23928,23178,23928,9999,23553,23178,25701,23178,25701,Abf1_15254_Motif_1_chr7_23458_23458_-,Abf1,23458,Motif,-,Sgf73_CX_chr7_23455_23456,Spt7HS_chr7_23455_23456,Abf1_CX_chr7_23457_23458,Sgf73_CX_chr7_23455_23456,Abf1_15254_Motif_1_chr7_23458_23458_-,Abf1_15254_Motif_1_bound_1bp_chr7_23458_23458_-,3226,2558,1606,1420,1355,845,428,23928,nuc_chr7-23928,171.3352118,40.9801783,,, , ,fragile,X_H,1592,H_YGL254W,41402,22304,+,H,Tandem,T_X,1932,H_YGL252C,41713,27533,-,H,Divergent,TATA_box,23782,23790,fragile,"HXK2_Hexokinase isoenzyme 2_YGL253W|HEX1|HKB|SCI2|hexokinase 2_{Homologous Gene Pair = YFR053C, HXK1, 0.77}_S0003222"
chr12,-,20551,02_STM,02b_STM_YPD,TFIID-dominated,YLR094C,GIS3,329238,327730,327730,329238,1508,ST5928,329284,327579,327579,329284,1705,329737,329226,329226,329737,511,329482,329737,327479,327479,329737,Tbf1_14155_Motif_1_chr12_329525_329525_+,Tbf1,329525,Motif,+,Sgf73_CX_chr12_329501_329502,Spt7HS_chr12_329448_329449,Reb1_CX_chr12_329547_329548,Stp2_CX_chr12_329518_329519,Tbf1_14155_Motif_1_chr12_329525_329525_+,Tbf1_14155_Motif_1_bound_1bp_chr12_329525_329525_+,1457,905,900,820,437,524,605,329226,nuc_chr12-329226,135.9792914,40.34665445,329737,nuc_chr12-329737,129.7721192,35.3429249,fragile,X_H,327,T_YLR095C,31404,329611,-,T,Tandem,T_X,79,H_YLR093C,30602,327500,-,H,Tandem,TATA_like,329382,329390,fragile,GIS3_Protein of unknown function_YLR094C_S0004084
chr12,-,20552,02_STM,02b_STM_YPD,TFIID-dominated,YLR387C,REH1,897672,896374,896374,897672,1298,ST6094,897771,896066,896066,897771,1705,898168,897702,897702,898168,466,897935,898168,895966,895966,898168,Rap1_15258_Motif_1_chr12_897867_897867_+,Rap1,897867,Motif,+,Sgf73_CX_chr12_897925_897926,.,Fhl1_CX_chr12_897931_897932,Ifh1_CX_chr12_897997_897998,Rap1_15258_Motif_1_chr12_897867_897867_+,Fhl1_CX_chr12_897931_897932,790,518,580,502,351,325,457,897702,nuc_chr12-897702,103.6021997,42.09209279,898168,nuc_chr12-898168,86.18975812,35.65822772,fragile,H_H,211,H_YLR388W,10056,897982,+,H,Divergent,T_X,2540,H_YLR386W,42173,893526,+,H,Divergent,TATA_like,897793,897801,fragile,REH1_Cytoplasmic 60S subunit biogenesis factor_YLR387C_S0004379
chr2,-,20553,02_STM,02c_STM_HS,SAGA-dominated,YBR126C,TPS1,490392,488905,488905,490392,1487,ST3824,490490,488785,488785,490490,1705,490864,490481,490481,490864,383,490673,490864,488685,488685,490864,Hmo1_CX_chr2_490676_490677,Hmo1,490676,CX,.,.,Ubp8HS_chr2_490732_490733,Hmo1_CX_chr2_490676_490677,.,.,.,2250,1347,1348,1325,598,757,399,490481,nuc_chr2-490481,88.26644502,35.42895419,490864,nuc_chr2-490864,173.7226005,37.42378872,fragile,X_H,339,H_YBR126W-A,20028,490829,+,H,Divergent,T_X,223,H_YBR125C,41507,488562,-,H,Tandem,TATA_box,490562,490570,fragile,"TPS1_Synthase subunit of trehalose-6-P synthase/phosphatase complex_YBR126C|BYP1|CIF1|FDP1|GGS1|GLC6|TSS1|alpha,alpha-trehalose-phosphate synthase (UDP-forming) TPS1_S0000330"
chr14,-,20554,02_STM,02c_STM_HS,TFIID-dominated,YNL025C,SSN8,585291,584320,584320,585291,971,ST6567,585373,583665,583665,585373,1708,585608,585299,585299,585608,309,585454,585608,583565,583565,585608,Tbf1_14155_Motif_1_chr14_585420_585420_+,Tbf1,585420,Motif,+,.,Spt7HS_chr14_585430_585431,Tbf1_CX_chr14_585423_585424,.,Tbf1_14155_Motif_1_chr14_585420_585420_+,Tbf1_14155_Motif_1_bound_1bp_chr14_585420_585420_+,1374,856,732,566,1433,596,515,585299,nuc_chr14-585299,182.0344798,37.14747446,585608,nuc_chr14-585608,131.1808464,41.21061761,stable,H_H,214,H_NME1,120085,585587,+,H,Divergent,T_X,174,T_YNL026W,41399,583491,+,T,Divergent,TATA_like,585346,585354,stable,SSN8_Cyclin-like component of the RNA polymerase II holoenzyme_YNL025C|CycC|RYE2|GIG3|NUT9|SRB11|UME3|CNC1|cyclin-dependent protein serine/threonine kinase regulator SSN8_S0004970
